"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"AL",0,0,1-01-01,0,0,"Lawrence County, Alabama",0,0,NA,NA,"No voting data yet","01079","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Lee County, Alabama",0,0,NA,NA,"No voting data yet","01081","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Limestone County, Alabama",0,0,NA,NA,"No voting data yet","01083","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Lowndes County, Alabama",0,0,NA,NA,"No voting data yet","01085","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Macon County, Alabama",0,0,NA,NA,"No voting data yet","01087","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Madison County, Alabama",0,0,NA,NA,"No voting data yet","01089","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Marengo County, Alabama",0,0,NA,NA,"No voting data yet","01091","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Marion County, Alabama",0,0,NA,NA,"No voting data yet","01093","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Marshall County, Alabama",0,0,NA,NA,"No voting data yet","01095","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Mobile County, Alabama",0,0,NA,NA,"No voting data yet","01097","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Monroe County, Alabama",0,0,NA,NA,"No voting data yet","01099","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Montgomery County, Alabama",0,0,NA,NA,"No voting data yet","01101","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Morgan County, Alabama",0,0,NA,NA,"No voting data yet","01103","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Perry County, Alabama",0,0,NA,NA,"No voting data yet","01105","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Pickens County, Alabama",0,0,NA,NA,"No voting data yet","01107","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Pike County, Alabama",0,0,NA,NA,"No voting data yet","01109","NA","lessThan20pctIn",NA,NA,NA,NA
