"name","fips","precinctsOf","precinctsIn","pctPrecIn","pctExpVote","totalVote","ts","vote_Trump","vote_Biden","vote_Jorgensen","vote_Write-ins","pct_Trump","pct_Biden","pct_Jorgensen","pct_Write-ins","pct_diff"
"Montour","42093",15,15,100,99.5314255,9771,"2021-05-03T18:32:09Z",5844,3771,156,0,59.8,38.6,1.6,0,21.2
"Northampton","42095",154,154,100,99.73337,170942,"2021-05-03T18:32:30Z",83854,85087,2001,0,49.1,49.8,1.2,0,-0.699999999999996
"Northumberland","42097",74,74,100,100,42283,"2021-03-07T03:54:09Z",28952,12677,654,0,68.5,30,1.5,0,38.5
"Perry","42099",31,31,100,95,24652,"2020-11-24T13:23:16Z",18293,5950,409,NA,74.2,24.1,1.7,NA,50.1
"Philadelphia","42101",1703,1703,100,100,741377,"2020-12-08T22:03:46Z",132740,603790,4847,0,17.9,81.4,0.7,0,-63.5
"Pike","42103",18,18,100,100,32554,"2020-12-08T22:09:10Z",19213,13019,322,0,59,40,1,0,19
"Potter","42105",30,30,100,100,9064,"2020-11-24T13:21:41Z",7239,1726,99,NA,79.9,19,1.1,NA,60.9
"Schuylkill","42107",125,125,100,95,70603,"2021-03-07T03:54:13Z",48871,20727,1005,0,69.2,29.4,1.4,0,39.8
"Snyder","42109",25,25,100,95,19140,"2020-11-24T13:21:45Z",13983,4910,247,NA,73.1,25.7,1.3,NA,47.4
"Somerset","42111",50,50,100,95,40543,"2020-12-09T14:14:20Z",31466,8654,423,0,77.6,21.3,1,0,56.3
"Sullivan","42113",15,15,100,95,3595,"2020-12-08T22:14:19Z",2619,921,55,0,72.9,25.6,1.5,0,47.3
"Susquehanna","42115",41,41,100,95,21752,"2020-12-08T22:34:51Z",15207,6236,309,NA,69.9,28.7,1.4,NA,41.2
"Tioga","42117",41,41,100,95,21075,"2020-12-08T22:34:55Z",15742,4955,378,0,74.7,23.5,1.8,0,51.2
"Union","42119",27,27,100,95,20115,"2020-11-24T13:21:49Z",12356,7475,284,NA,61.4,37.2,1.4,NA,24.2
"Venango","42121",44,44,100,95,26528,"2020-12-09T14:18:59Z",18569,7585,374,0,70,28.6,1.4,0,41.4
"Warren","42123",33,33,100,95,20650,"2020-12-09T14:19:03Z",14237,6066,347,0,68.9,29.4,1.7,0,39.5
"Washington","42125",180,180,100,95,118478,"2020-12-09T14:14:43Z",72080,45088,1310,NA,60.8,38.1,1.1,NA,22.7
"Wayne","42127",35,35,100,100,28089,"2020-11-24T13:21:55Z",18637,9191,261,NA,66.3,32.7,0.9,NA,33.6
"Westmoreland","42129",307,307,100,95,204697,"2021-05-03T18:32:45Z",130218,72129,2350,0,63.6,35.2,1.1,0,28.4
"Wyoming","42131",28,28,100,100,14858,"2020-12-08T22:34:59Z",9936,4704,218,0,66.9,31.7,1.5,0,35.2
"York","42133",160,160,100,100,238471,"2021-03-07T03:54:36Z",146733,88114,3624,0,61.5,36.9,1.5,0,24.6
