"name","fips","precinctsOf","precinctsIn","pctPrecIn","pctExpVote","totalVote","ts","vote_Trump","vote_Biden","vote_Jorgensen","vote_Write-ins","pct_Trump","pct_Biden","pct_Jorgensen","pct_Write-ins","pct_diff","state","vote_Ventura","vote_Blankenship","vote_Pierce","vote_De La Fuente","pct_Ventura","pct_Blankenship","pct_Pierce","pct_De La Fuente","vote_La Riva","vote_Collins","vote_West","vote_Hawkins","vote_Gammon","vote_Carroll","vote_Myers","pct_La Riva","pct_Collins","pct_West","pct_Hawkins","pct_Gammon","pct_Carroll","pct_Myers"
"Shelby","1117",49,49,100,100,114950,"2020-12-10T01:32:11Z",79700,33268,1462,520,69.3,28.9,1.3,0.5,40.4,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumter","1119",13,13,100,100,6291,"2021-03-07T03:15:53Z",1598,4648,37,8,25.4,73.9,0.6,0.1,-48.5,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Talladega","1121",27,27,100,100,35663,"2021-03-07T03:16:35Z",22235,13138,247,43,62.3,36.8,0.7,0.1,25.5,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tallapoosa","1123",28,28,100,100,20991,"2021-03-07T03:16:29Z",14963,5859,130,39,71.3,27.9,0.6,0.2,43.4,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuscaloosa","1125",55,55,100,100,90172,"2021-03-07T03:16:12Z",51117,37765,927,363,56.7,41.9,1,0.4,14.8,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Walker","1127",46,46,100,100,31170,"2021-03-07T03:16:07Z",26002,4834,277,57,83.4,15.5,0.9,0.2,67.9,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","1129",20,20,100,100,8876,"2021-03-07T03:16:01Z",6564,2258,45,9,74,25.4,0.5,0.1,48.6,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilcox","1131",36,36,100,100,5903,"2021-03-07T03:16:48Z",1833,4048,17,5,31.1,68.6,0.3,0.1,-37.5,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winston","1133",19,19,100,100,11284,"2021-03-07T03:16:43Z",10195,974,102,13,90.3,8.6,0.9,0.1,81.7,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 1","2901",9,9,100,100,7360,"2021-02-17T16:26:17Z",3511,3477,216,46,47.7,47.2,2.9,0.6,0.5,"AK",50,34,24,2,0.7,0.5,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
